tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk
2021,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,50-54,Laki-laki,93
2021,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,55-59,Laki-laki,55
2021,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,60-64,Laki-laki,54
2021,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,65-69,Laki-laki,29
2021,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,70-74,Laki-laki,13
2021,DKI Jakarta,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,75+,Laki-laki,27
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,00-04,Laki-laki,84
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,05-09,Laki-laki,76
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,01-10,Laki-laki,96
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,15-19,Laki-laki,87
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,20-24,Laki-laki,134
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,25-29,Laki-laki,121
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,30-34,Laki-laki,118
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,35-39,Laki-laki,128
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,40-44,Laki-laki,122
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,45-49,Laki-laki,112
2021,DKI Jakarta,JAKARTA PUSAT,GAMBIR,GAMBIR,50-54,Laki-laki,117
